sample_id,document_id,document_family_id,doc_type,data_source,is_synthetic,license,is_tampered,tampering_type,image_path,mask_path,width,height,tampered_pixel_count,tampered_area_ratio,split
public_GenText_Forensic_00000000,GenText_Forensic_00000000,pub_family_GenText_Forensic_00000000,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\train\images\public_GenText_Forensic_00000000.png,data\train\masks\public_GenText_Forensic_00000000.png,1159,1500,9664,0.0055588150704630425,train
public_GenText_Forensic_00000001,GenText_Forensic_00000001,pub_family_GenText_Forensic_00000001,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\test\images\public_GenText_Forensic_00000001.png,data\test\masks\public_GenText_Forensic_00000001.png,1159,1500,63876,0.03674201898188093,test
public_GenText_Forensic_00000002,GenText_Forensic_00000002,pub_family_GenText_Forensic_00000002,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\val\images\public_GenText_Forensic_00000002.png,data\val\masks\public_GenText_Forensic_00000002.png,1159,1500,7369,0.0042387115329306875,val
public_GenText_Forensic_00000003,GenText_Forensic_00000003,pub_family_GenText_Forensic_00000003,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\train\images\public_GenText_Forensic_00000003.png,data\train\masks\public_GenText_Forensic_00000003.png,1159,1500,23586,0.013566867989646247,train
public_GenText_Forensic_00000004,GenText_Forensic_00000004,pub_family_GenText_Forensic_00000004,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\train\images\public_GenText_Forensic_00000004.png,data\train\masks\public_GenText_Forensic_00000004.png,1159,1500,13820,0.007949381650848433,train
public_GenText_Forensic_00000005,GenText_Forensic_00000005,pub_family_GenText_Forensic_00000005,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\val\images\public_GenText_Forensic_00000005.png,data\val\masks\public_GenText_Forensic_00000005.png,1159,1500,23175,0.013330457290767903,val
public_GenText_Forensic_00000006,GenText_Forensic_00000006,pub_family_GenText_Forensic_00000006,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\val\images\public_GenText_Forensic_00000006.png,data\val\masks\public_GenText_Forensic_00000006.png,1159,1500,12927,0.00743572044866264,val
public_GenText_Forensic_00000007,GenText_Forensic_00000007,pub_family_GenText_Forensic_00000007,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\test\images\public_GenText_Forensic_00000007.png,data\test\masks\public_GenText_Forensic_00000007.png,1500,1018,3588,0.002349705304518664,test
public_GenText_Forensic_00000008,GenText_Forensic_00000008,pub_family_GenText_Forensic_00000008,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\test\images\public_GenText_Forensic_00000008.png,data\test\masks\public_GenText_Forensic_00000008.png,1159,1500,26156,0.01504515386827725,test
public_GenText_Forensic_00000009,GenText_Forensic_00000009,pub_family_GenText_Forensic_00000009,public_document,public_realtext_v2,0,CC-BY-NC-4.0,1,public_realtext_tampered,data\train\images\public_GenText_Forensic_00000009.png,data\train\masks\public_GenText_Forensic_00000009.png,1500,1159,33601,0.019327581248202472,train
