sample_id,source_document_id,document_family_id,doc_type,source_type,manipulation_type,is_tampered,bounding_box,tampered_pixel_count,tampered_area_percentage,original_path,tampered_path,mask_path,width,height,dataset_split,license
syn_doc_family_invoice_001_inst_00_authentic,doc_family_invoice_001_inst_00,doc_family_invoice_001,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_001_inst_00.png,data\train\images\syn_doc_family_invoice_001_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_001_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_001_inst_00_v1_text_replacement,doc_family_invoice_001_inst_00,doc_family_invoice_001,invoice,synthetic,text_replacement,1,"[140, 598, 404, 636]",10032,1.1943,data\synthetic\originals\doc_family_invoice_001_inst_00.png,data\train\images\syn_doc_family_invoice_001_inst_00_v1_text_replacement.png,data\train\masks\syn_doc_family_invoice_001_inst_00_v1_text_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_001_inst_00_v2_number_amount_replacement,doc_family_invoice_001_inst_00,doc_family_invoice_001,invoice,synthetic,number_amount_replacement,1,"[484, 446, 630, 490]",6424,0.7648,data\synthetic\originals\doc_family_invoice_001_inst_00.png,data\train\images\syn_doc_family_invoice_001_inst_00_v2_number_amount_replacement.png,data\train\masks\syn_doc_family_invoice_001_inst_00_v2_number_amount_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_001_inst_00_v3_date_replacement,doc_family_invoice_001_inst_00,doc_family_invoice_001,invoice,synthetic,date_replacement,1,"[340, 243, 477, 284]",5617,0.6687,data\synthetic\originals\doc_family_invoice_001_inst_00.png,data\train\images\syn_doc_family_invoice_001_inst_00_v3_date_replacement.png,data\train\masks\syn_doc_family_invoice_001_inst_00_v3_date_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_001_inst_00_v4_copy_move_intra,doc_family_invoice_001_inst_00,doc_family_invoice_001,invoice,synthetic,copy_move_intra,1,"[391, 420, 577, 460]",7440,0.8857,data\synthetic\originals\doc_family_invoice_001_inst_00.png,data\train\images\syn_doc_family_invoice_001_inst_00_v4_copy_move_intra.png,data\train\masks\syn_doc_family_invoice_001_inst_00_v4_copy_move_intra.png,800,1050,train,MIT
syn_doc_family_invoice_002_inst_00_authentic,doc_family_invoice_002_inst_00,doc_family_invoice_002,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_002_inst_00.png,data\train\images\syn_doc_family_invoice_002_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_002_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_002_inst_00_v1_copy_paste_inter,doc_family_invoice_002_inst_00,doc_family_invoice_002,invoice,synthetic,copy_paste_inter,1,"[153, 541, 314, 605]",10304,1.2267,data\synthetic\originals\doc_family_invoice_002_inst_00.png,data\train\images\syn_doc_family_invoice_002_inst_00_v1_copy_paste_inter.png,data\train\masks\syn_doc_family_invoice_002_inst_00_v1_copy_paste_inter.png,800,1050,train,MIT
syn_doc_family_invoice_002_inst_00_v2_signature_manipulation,doc_family_invoice_002_inst_00,doc_family_invoice_002,invoice,synthetic,signature_manipulation,1,"[236, 806, 539, 875]",20907,2.4889,data\synthetic\originals\doc_family_invoice_002_inst_00.png,data\train\images\syn_doc_family_invoice_002_inst_00_v2_signature_manipulation.png,data\train\masks\syn_doc_family_invoice_002_inst_00_v2_signature_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_002_inst_00_v3_photo_replacement,doc_family_invoice_002_inst_00,doc_family_invoice_002,invoice,synthetic,photo_replacement,1,"[181, 271, 356, 630]",62825,7.4792,data\synthetic\originals\doc_family_invoice_002_inst_00.png,data\train\images\syn_doc_family_invoice_002_inst_00_v3_photo_replacement.png,data\train\masks\syn_doc_family_invoice_002_inst_00_v3_photo_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_002_inst_00_v4_stamp_seal_manipulation,doc_family_invoice_002_inst_00,doc_family_invoice_002,invoice,synthetic,stamp_seal_manipulation,1,"[542, 667, 696, 821]",3718,0.4426,data\synthetic\originals\doc_family_invoice_002_inst_00.png,data\train\images\syn_doc_family_invoice_002_inst_00_v4_stamp_seal_manipulation.png,data\train\masks\syn_doc_family_invoice_002_inst_00_v4_stamp_seal_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_003_inst_00_authentic,doc_family_invoice_003_inst_00,doc_family_invoice_003,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_003_inst_00.png,data\train\images\syn_doc_family_invoice_003_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_003_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_003_inst_00_v1_region_removal,doc_family_invoice_003_inst_00,doc_family_invoice_003,invoice,synthetic,region_removal,1,"[345, 667, 540, 775]",21060,2.5071,data\synthetic\originals\doc_family_invoice_003_inst_00.png,data\train\images\syn_doc_family_invoice_003_inst_00_v1_region_removal.png,data\train\masks\syn_doc_family_invoice_003_inst_00_v1_region_removal.png,800,1050,train,MIT
syn_doc_family_invoice_003_inst_00_v2_local_inpainting,doc_family_invoice_003_inst_00,doc_family_invoice_003,invoice,synthetic,local_inpainting,1,"[203, 540, 338, 578]",5130,0.6107,data\synthetic\originals\doc_family_invoice_003_inst_00.png,data\train\images\syn_doc_family_invoice_003_inst_00_v2_local_inpainting.png,data\train\masks\syn_doc_family_invoice_003_inst_00_v2_local_inpainting.png,800,1050,train,MIT
syn_doc_family_invoice_003_inst_00_v3_text_replacement,doc_family_invoice_003_inst_00,doc_family_invoice_003,invoice,synthetic,text_replacement,1,"[292, 518, 595, 549]",9393,1.1182,data\synthetic\originals\doc_family_invoice_003_inst_00.png,data\train\images\syn_doc_family_invoice_003_inst_00_v3_text_replacement.png,data\train\masks\syn_doc_family_invoice_003_inst_00_v3_text_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_003_inst_00_v4_number_amount_replacement,doc_family_invoice_003_inst_00,doc_family_invoice_003,invoice,synthetic,number_amount_replacement,1,"[369, 430, 486, 472]",4914,0.585,data\synthetic\originals\doc_family_invoice_003_inst_00.png,data\train\images\syn_doc_family_invoice_003_inst_00_v4_number_amount_replacement.png,data\train\masks\syn_doc_family_invoice_003_inst_00_v4_number_amount_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_004_inst_00_authentic,doc_family_invoice_004_inst_00,doc_family_invoice_004,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_004_inst_00.png,data\train\images\syn_doc_family_invoice_004_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_004_inst_00_authentic.png,800,1050,train,MIT
